Day,Block,Station,Treatment,aphids,plants,tillers
0,1,N,Open,0,3,11
0,1,S,Closed,16,4,11
0,2,N,Open,16,5,12
0,2,S,Closed,7,4,13
0,3,N,Open,8,5,12
0,3,S,Closed,4,8,12
0,5,N,Closed,3,8,12
0,5,S,Open,5,7,12
0,4,N,Closed,2,5,10
0,4,S,Open,2,2,11
3,1,N,Open,8,3,11
3,1,S,Closed,14,4,11
3,3,N,Open,27,5,12
3,3,S,Closed,7,8,12
3,2,N,Open,36,5,12
3,2,S,Closed,10,4,13
3,5,N,Closed,9,8,12
3,5,S,Open,2,7,12
3,4,N,Closed,11,5,10
3,4,S,Open,5,2,11
5,1,N,Open,97,3,11
5,1,S,Closed,52,4,11
5,2,N,Open,63,5,12
5,2,S,Closed,64,4,13
5,3,N,Open,92,5,12
5,3,S,Closed,77,8,12
5,4,N,Closed,18,5,10
5,4,S,Open,82,2,11
5,5,N,Closed,9,8,12
5,5,S,Open,34,7,12
6,1,N,Open,12,3,11
6,1,S,Closed,39,4,11
6,2,N,Open,29,5,12
6,2,S,Closed,34,4,13
6,3,N,Open,18,5,12
6,3,S,Closed,52,8,12
6,5,N,Closed,6,8,12
6,5,S,Open,16,7,12
6,4,N,Closed,16,5,10
6,4,S,Open,12,2,11
7,1,N,Open,8,3,11
7,1,S,Closed,11,4,11
7,2,N,Open,14,5,12
7,2,S,Closed,16,4,13
7,3,N,Open,24,5,12
7,3,S,Closed,22,8,12
7,5,N,Closed,6,8,12
7,5,S,Open,4,7,12
7,4,N,Closed,13,5,10
7,4,S,Open,3,2,11
8,1,N,Open,2,3,11
8,1,S,Closed,6,4,11
8,2,N,Open,24,5,12
8,2,S,Closed,38,4,13
8,3,N,Open,13,5,12
8,3,S,Closed,18,8,12
8,5,N,Closed,9,8,12
8,5,S,Open,8,7,12
8,4,N,Closed,17,5,10
8,4,S,Open,13,2,11
10,1,N,Open,9,3,11
10,1,S,Closed,25,4,11
10,2,N,Open,17,5,12
10,2,S,Closed,28,4,13
10,3,N,Open,13,5,12
10,3,S,Closed,46,8,12
10,5,N,Closed,14,8,12
10,5,S,Open,14,7,12
10,4,N,Closed,74,5,10
10,4,S,Open,12,2,11
12,1,N,Open,9,3,11
12,1,S,Closed,122,4,11
12,2,N,Open,11,5,12
12,2,S,Closed,88,4,13
12,3,N,Open,8,5,12
12,3,S,Closed,87,8,12
12,5,N,Closed,47,8,12
12,5,S,Open,19,7,12
12,4,N,Closed,118,5,10
12,4,S,Open,14,2,11
13,1,N,Open,9,3,11
13,1,S,Closed,66,4,11
13,2,N,Open,9,5,12
13,2,S,Closed,68,4,13
13,3,N,Open,8,5,12
13,3,S,Closed,72,8,12
13,5,N,Closed,64,8,12
13,5,S,Open,12,7,12
13,4,N,Closed,117,5,10
13,4,S,Open,15,2,11
